

3    2014-11-08 17:46:18,900 [main] DEBUG GetHTML  - CommandLineParms: Output DB
3    2014-11-08 17:46:18,900 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -U=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv
92   2014-11-08 17:46:18,989 [main] DEBUG GetHTML  - Completed:getHTML sLocalURL=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv iReturn=1(1 is successful)
92   2014-11-08 17:46:18,989 [main] DEBUG GetHTML  - Completed:getHTML HTTP get was successful
92   2014-11-08 17:46:18,989 [main] DEBUG GetHTML  - Completed:getHTML response length=19
93   2014-11-08 17:46:18,990 [main] DEBUG GetHTML  - Begin out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
94   2014-11-08 17:46:18,991 [main] DEBUG GetHTML  - File Name=sPathAndFileName=/home/paul/workspace/dev/GetHTML/output/test11082014_17:46:18.txt
94   2014-11-08 17:46:18,991 [main] DEBUG GetHTML  - End  out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
94   2014-11-08 17:46:18,991 [main] INFO  GetHTML  - Time: Ending  getHTML (main) Ending   -U=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv
94   2014-11-08 17:46:18,991 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -U=http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=9&e=31&f=2014&g=d&a=9&b=31&c=2014&ignore=.csv
173  2014-11-08 17:46:19,070 [main] DEBUG GetHTML  - Completed:getHTML sLocalURL=http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=9&e=31&f=2014&g=d&a=9&b=31&c=2014&ignore=.csv iReturn=1(1 is successful)
173  2014-11-08 17:46:19,070 [main] DEBUG GetHTML  - Completed:getHTML HTTP get was successful
173  2014-11-08 17:46:19,070 [main] DEBUG GetHTML  - Completed:getHTML response length=90
173  2014-11-08 17:46:19,070 [main] DEBUG GetHTML  - Begin out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
174  2014-11-08 17:46:19,071 [main] DEBUG GetHTML  - File Name=sPathAndFileName=/home/paul/workspace/dev/GetHTML/output/test11082014_17:46:18.txt
175  2014-11-08 17:46:19,072 [main] DEBUG GetHTML  - End  out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
175  2014-11-08 17:46:19,072 [main] DEBUG GetHTML  - Begin out->DB 
0    2014-11-08 23:48:49,246 [main] INFO  GetHTML  - Time: Starting (main)
1    2014-11-08 23:48:49,247 [main] DEBUG GetHTML  - CommandLineParms: URLs 3 left most chars sLeftMostCommandLineParameter=-U=
1    2014-11-08 23:48:49,247 [main] DEBUG GetHTML  - CommandLineParms: URLs sCommandLineParameter=-U=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv
1    2014-11-08 23:48:49,247 [main] DEBUG GetHTML  - CommandLineParms: URLs 3 left most chars sLeftMostCommandLineParameter=-U=
1    2014-11-08 23:48:49,247 [main] DEBUG GetHTML  - CommandLineParms: URLs sCommandLineParameter=-U=http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=9&e=31&f=2014&g=d&a=9&b=31&c=2014&ignore=.csv
1    2014-11-08 23:48:49,247 [main] DEBUG GetHTML  - CommandLineParms: Output File
3    2014-11-08 23:48:49,249 [main] DEBUG GetHTML  - Append GUID or TimeStamp to the end of the filename
3    2014-11-08 23:48:49,249 [main] DEBUG GetHTML  - CommandLineParms: URLs 3 left most chars sLeftMostCommandLineParameter=-U=
3    2014-11-08 23:48:49,249 [main] DEBUG GetHTML  - CommandLineParms: URLs sCommandLineParameter=-U=http://madmoney.thestreet.com/screener/index.cfm
3    2014-11-08 23:48:49,249 [main] DEBUG GetHTML  - CommandLineParms: Output DB
3    2014-11-08 23:48:49,249 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -U=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv
91   2014-11-08 23:48:49,337 [main] DEBUG GetHTML  - Completed:getHTML sLocalURL=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv iReturn=1(1 is successful)
91   2014-11-08 23:48:49,337 [main] DEBUG GetHTML  - Completed:getHTML HTTP get was successful
91   2014-11-08 23:48:49,337 [main] DEBUG GetHTML  - Completed:getHTML response length=19
91   2014-11-08 23:48:49,337 [main] DEBUG GetHTML  - Begin out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
92   2014-11-08 23:48:49,338 [main] DEBUG GetHTML  - File Name=sPathAndFileName=/home/paul/workspace/dev/GetHTML/output/test11082014_23:48:49.txt
92   2014-11-08 23:48:49,338 [main] DEBUG GetHTML  - End  out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
92   2014-11-08 23:48:49,338 [main] INFO  GetHTML  - Time: Ending  getHTML (main) Ending   -U=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv
